variable_name,varid,type,dimension,long_name,standard_name,conventions,units,_FillValue,valid_min,valid_max,axis,ancillary_variable,accuracy,precision,resolution,cell_methods,DM_indicator,reference_scale,coordinate_reference,coordinate_reference_frame,sdn_parameter_urn,sdn_uom_urn,comment  ,Example
DEPTH_ADJUSTED_QC,depth_adjusted_qc,byte,TIME,Adjusted Depth observed by tag quality flags,depth_adjusted_qc,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,,
SUNRISE_ADJUSTED_QC,sunrise_adjusted_qc,byte,TIME,Adjusted Time at sunrise quality flags,sunrise_adjusted_qc,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,,
SUNSET_ADJUSTED_QC,sunset_adjusted_qc,byte,TIME,Adjusted Time at sunset quality flags,sunset_adjusted_qc,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,,
TEMP_ADJUSTED_UNCERTAINTY,sea_water_temperature_adjusted_uncertainty,float,TIME,Adjusted Sea temperature in-situ ITS-90 scale uncertainty,sea_water_temperature_adjusted_uncertainty,,degree_Celsius,999999,,,,,,,,,,,,,,,,
DEPTH_ADJUSTED_UNCERTAINTY,depth_adjusted_uncertainty,float,TIME,Adjusted Depth observed by tag uncertainty,depth_adjusted_uncertainty,,m,999999,,,Z,,,,,,,,,,,,,
SUNRISE_ADJUSTED_UNCERTAINTY,sunrise_adjusted_uncertainty,float,TIME,Adjusted Time at sunrise uncertainty,sunrise_adjusted_uncertainty,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,,
SUNSET_ADJUSTED_UNCERTAINTY,sunset_adjusted_uncertainty,float,TIME,Adjusted Time at sunset uncertainty,sunset_adjusted_uncertainty,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
JULD_TECH,juld_tech,double,TIME_TECH,Julian 1950 time,time,,days since 1950-01-01T00:00:00Z,999999,0,90000,,,,,,,,,,,,SDN:P01::XXX,SDN:P061::UTAA,"Date and time (UTC) of the technical parameter in days since midnight, 1950-01-01."
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
JULD_SATELLITE,juld_satellite,double,TIME_IRIDIUM,Julian 1950 time of Iridium session,time,,days since 1950-01-01T00:00:00Z,999999,0,90000,,,,,,,,,,,,SDN:P01::XXX,SDN:P061::UTAA,"Date and time (UTC) of the Iridium session in days since midnight, 1950-01-01."
LATITUDE_SATELLITE,latitude_satellite,double,TIME_IRIDIUM,Latitude of Iridium session,latitude,,degree_north,99999,-90,90,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALATZZ01,SDN:P061::DEGN,Latitude of the Iridium session. Units: degrees north, southern latitudes are negative.
LONGITUDE_SATELLITE,longitude_satellite,double,TIME_IRIDIUM,Longitude of Iridium session,longitude,,degree_east,99999,-180,180,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALONZZ01,SDN:P061::DEGE,Longitude of the Iridium session. Unit: degrees east, western latitudes are negative.
CEP_RADIUS_SATELLITE,cep_radius_satellite,integer,TIME_IRIDIUM,Circular error probability of Iridium session location,,,km,99999,,,,,,,,,,,,,,,Circular Error Probability associated to Iridium session location.,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TAG_NUMBER,tag_number,char,STRING8,Tag unique identifier,,WMO tag identifier : A9IIIII,,,,,,,,,,,,,,,,,WMO tag identifier. WMO is the World Meteorological Organization. This platform number is unique.,
IMEI,imei,char,STRING256,Iridium transmission identifier,,,,,,,,,,,,,,,,,,,Transmission identifier of the tag,
TAG_MAKER,tag_maker,char,STRING256,Name of the manufacturer,,POPSTAR reference table 24,,,,,,,,,,,,,,,,,Name of the manufacturer. See POPSTAR reference table 24.,
FIRMWARE_VERSION,firmware_version,char,STRING32,Firmware version for the tag,,,,,,,,,,,,,,,,,,,The firmware version. This is specified as per the format on the manufacturer�s manual.,
MANUAL_VERSION,manual_version,char,STRING16,Manual version for the tag,,,,,,,,,,,,,,,,,,,The version date or number for the manual for each tag.,
TAG_SERIAL_NO,tag_serial_no,char,STRING32,Serial number of the tag,,,,,,,,,,,,,,,,,,,This field should contain only the serial number of the tag.,
DAC_FORMAT_ID,dac_format_id,char,STRING16,Format number used by the DAC to describe the data format type for each tag,,,,,,,,,,,,,,,,,,,Format numbers used by individual DACs to describe each tag type.,
WMO_INST_TYPE,wmo_inst_type,char,STRING4,Coded instrument type,,POPSTAR reference table 8,,,,,,,,,,,,,,,,,Instrument type from WMO code table 1770. A subset of WMO table 1770 is documented in the reference table 8.,
ANOMALY,anomaly,char,STRING256,Describe any anomalies or problems the tag may have had,,,,,,,,,,,,,,,,,,,This field describes any anomaly or problem the tag may have had.,
BATTERY_TYPE,battery_type,char,STRING64,Type of battery packs in the tag,,,,,,,,,,,,,,,,,,,Describes the type of battery packs in the tag.,"�Alkaline�, �Lithium� or �Alkaline and Lithium�"
BATTERY_PACKS,battery_packs,char,STRING64,Configuration of battery packs in the tag,,,,,,,,,,,,,,,,,,,"Describes the configuration of battery packs in the tag, number and type.",�4DD Li + 1C Alk�
CONTROLLER_BOARD_TYPE,controller_board_type,char,STRING32,Type of controller board,,,,,,,,,,,,,,,,,,,Describes the type of controller board.,
CONTROLLER_BOARD_SERIAL_NO,controller_board_serial_no,char,STRING32,Serial number of the controller board,,,,,,,,,,,,,,,,,,,The serial number for the controller board.,
SPECIAL_FEATURES,special_features,char,STRING1024,"Extra features of the tag (algorithms, compressee etc.)",,,,,,,,,,,,,,,,,,,Additional tag features can be specified here such as algorithms used by the tag.,
TAG_OWNER,tag_owner,char,STRING64,Tag owner,,,,,,,,,,,,,,,,,,,The owner of the tag (may be different from the data centre and operating institution).,
OPERATING_INSTITUTION,operating_institution,char,STRING64,Operating institution of the tag,,,,,,,,,,,,,,,,,,,The operating institution of the tag (may be different from the tag owner and data centre).,
CUSTOMISATION,customisation,char,STRING1024,"tag customisation, i.e. (institution and modifications",,,,,,,,,,,,,,,,,,,"Free form field to record changes made to the tag after manufacture and before deployment, i.e. this could be the customisation institution plus a list of modifications.",
,,,,, ,,,,,,,,,,,,,,,,,,,
DEPLOYMENT_DATE,deployment_date,char,DATE_TIME,Date (UTC) of the deployment,,YYYYMMDDHHMISS,,,,,,,,,,,,,,,,,Date and time (UTC) of deployment of the tag. Format : YYYYMMDDHHMISS,20011230090500 : December 30th 2001 03:05:00
DEPLOYMENT_LATITUDE,deployment_latitude,double,,Latitude of the tag when deployed,,,degree_north,99999,-90,90,,,,,,,,,,,,,Latitude of the deployment. Unit : degree north.,44.4991 : 44� 29� 56.76�� N
DEPLOYMENT_LONGITUDE,deployment_longitude,double,,Longitude of the tag when deployed,,,degree_east,99999,-180,180,,,,,,,,,,,,,Longitude of the deployment. Unit : degree east.,16.7222 : 16� 43� 19.92�� E
DEPLOYMENT_QC,deployment_qc,char,,"Quality on deployment date, time and location",,POPSTAR reference table 2,,,,,,,,,,,,,,,,,"Quality flag on deployment date, time and location. The flag scale is described in the reference table 2. ",�1� : launch location seems correct.
START_DATE,start_date,char,DATE_TIME,Date (UTC) of the first descent of the tag,,YYYYMMDDHHMISS,,,,,,,,,,,,,,,,,Date and time (UTC) of the first descent of the tag. Format : YYYYMMDDHHMISS,20011230090500 : December 30th 2001 06:05:00 AM
